epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,465.147,0.80599,1.31025,1.03747,0.79686,1,0.995,0.8955,0.55801,1.62401,0.80001,0.0042972,0.0014324,0.0042972,0.0014324,0.0042972,0.0014324,0.0042972,0.0014324
45,475.529,0.84433,1.42182,1.12383,0.79686,1,0.995,0.8955,0.55801,1.62401,0.80001,0.0042576,0.0014192,0.0042576,0.0014192,0.0042576,0.0014192,0.0042576,0.0014192
46,485.951,0.69872,1.32202,0.98774,0.79686,1,0.995,0.8955,0.55801,1.62401,0.80001,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
47,496.743,0.80152,1.42057,1.06089,0.89337,1,0.995,0.8955,0.56593,1.59741,0.79795,0.0041784,0.0013928,0.0041784,0.0013928,0.0041784,0.0013928,0.0041784,0.0013928
48,506.991,0.69474,1.28625,1.00538,0.89337,1,0.995,0.8955,0.56593,1.59741,0.79795,0.0041388,0.0013796,0.0041388,0.0013796,0.0041388,0.0013796,0.0041388,0.0013796
49,518.831,0.75899,1.21264,1.01246,0.95057,1,0.995,0.8955,0.53891,1.56043,0.80356,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
50,529.77,0.6625,1.39646,0.97511,0.95057,1,0.995,0.8955,0.53891,1.56043,0.80356,0.0040596,0.0013532,0.0040596,0.0013532,0.0040596,0.0013532,0.0040596,0.0013532
51,544.067,0.74584,1.14052,0.94864,0.95057,1,0.995,0.8955,0.53891,1.56043,0.80356,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134
52,559.36,0.80015,1.29933,1.01968,0.95885,1,0.995,0.90167,0.5061,1.47801,0.79796,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
53,572.393,0.68099,1.2055,0.97238,0.95885,1,0.995,0.90167,0.5061,1.47801,0.79796,0.0039408,0.0013136,0.0039408,0.0013136,0.0039408,0.0013136,0.0039408,0.0013136
